assigned_who,fixed_bugs,total_reports,fixed_bugs_ratio
129,2,4,0.5
146,0,6,0.0
225,31,134,0.23134328358208955
238,421,728,0.5782967032967034
245,0,2,0.0
246,0,3,0.0
253,0,4,0.0
261,11,125,0.088
265,1,8,0.125
268,1,14,0.07142857142857142
283,1,2,0.5
293,1,2,0.5
307,2,4,0.5
321,1,2,0.5
329,0,8,0.0
354,21,66,0.3181818181818182
396,0,2,0.0
401,1,4,0.25
408,1,13,0.07692307692307693
427,1,2,0.5
454,1,4,0.25
455,2,4,0.5
457,8,16,0.5
460,549,2138,0.2567820392890552
469,730,1690,0.4319526627218935
475,4,8,0.5
479,0,2,0.0
481,494,827,0.5973397823458283
482,3,6,0.5
495,7,15,0.4666666666666667
519,0,2,0.0
522,4,8,0.5
523,0,2,0.0
526,1,3,0.3333333333333333
533,1,2,0.5
536,1,2,0.5
550,4,21,0.19047619047619047
569,0,6,0.0
574,1,2,0.5
575,0,2,0.0
579,2,5,0.4
580,5,32,0.15625
581,0,3,0.0
583,2,45,0.044444444444444446
590,9,37,0.24324324324324326
594,0,2,0.0
608,0,2,0.0
626,0,2,0.0
631,1,2,0.5
633,4,10,0.4
634,1,2,0.5
639,2,10,0.2
650,1,2,0.5
651,0,10,0.0
652,1,2,0.5
683,0,3,0.0
692,0,3,0.0
696,1,4,0.25
698,115,200,0.575
709,0,2,0.0
727,1,2,0.5
730,3,11,0.2727272727272727
737,0,2,0.0
746,6,13,0.46153846153846156
770,0,6,0.0
773,1,4,0.25
792,0,2,0.0
793,1,2,0.5
796,1,10,0.1
819,0,7,0.0
822,1,2,0.5
826,3,10,0.3
834,0,3,0.0
855,1,2,0.5
870,0,2,0.0
875,0,2,0.0
882,0,2,0.0
884,0,2,0.0
905,0,2,0.0
913,1,3,0.3333333333333333
933,1,3,0.3333333333333333
963,0,2,0.0
967,88,116,0.7586206896551724
980,0,2,0.0
981,0,2,0.0
982,0,2,0.0
1026,4,6,0.6666666666666666
1057,0,2,0.0
1063,1,2,0.5
1068,611,1177,0.5191163976210705
1109,0,4,0.0
1120,1,2,0.5
1121,1,4,0.25
1148,1,2,0.5
1155,1,4,0.25
1169,2,6,0.3333333333333333
1186,4,10,0.4
1247,0,2,0.0
1249,3,26,0.11538461538461539
1252,2,10,0.2
1256,1,2,0.5
1269,60,175,0.34285714285714286
1294,0,2,0.0
1306,1,4,0.25
1322,1,4,0.25
1343,1,3,0.3333333333333333
1347,0,2,0.0
1360,1,2,0.5
1406,1,2,0.5
1409,1,5,0.2
1428,0,2,0.0
1474,36,103,0.34951456310679613
1497,0,5,0.0
1536,1,2,0.5
1545,0,2,0.0
1546,0,4,0.0
1552,8,16,0.5
1555,1,5,0.2
1562,0,2,0.0
1564,3,13,0.23076923076923078
1584,5,24,0.20833333333333334
1607,1,4,0.25
1608,0,1,0.0
1626,1,2,0.5
1633,1,2,0.5
1701,2,7,0.2857142857142857
1715,0,2,0.0
1754,1,2,0.5
1760,954,2117,0.45063769485120453
1790,1,8,0.125
1812,2,4,0.5
1816,0,2,0.0
1827,1,2,0.5
1904,0,1,0.0
1906,377,541,0.6968576709796673
1907,215,454,0.473568281938326
1908,1,3,0.3333333333333333
1917,0,2,0.0
1920,0,2,0.0
1950,0,2,0.0
1961,152,303,0.5016501650165016
1988,2,8,0.25
2003,0,2,0.0
