assigned_who,bug_status_edits_fixed,resolution_edits_fixed
2373,1.0,0.0
2386,1.0,0.0
2389,2.0,4.0
2408,1.0,2.0
2409,4.0,4.0
2445,1.0,0.0
2478,291.0,374.0
2518,1.0,0.0
2521,1.0,0.0
2557,2.0,0.0
2564,1.0,2.0
2599,1.0,0.0
2624,18.0,17.0
2626,1.0,0.0
2631,1.0,2.0
2642,1.0,0.0
2643,1.0,0.0
2647,1.0,0.0
2676,2.0,0.0
2699,1.0,0.0
2719,1.0,2.0
2723,6.0,0.0
2727,1.0,2.0
2733,2.0,4.0
2737,26.0,15.0
2739,1.0,0.0
2767,1.0,0.0
2768,1.0,0.0
2769,1.0,0.0
2775,8.0,6.0
2791,2.0,4.0
2792,1.0,2.0
2834,1.0,0.0
2859,2.0,4.0
2864,1.0,0.0
2897,1.0,0.0
2899,1.0,2.0
2905,1.0,0.0
2926,1.0,0.0
2945,1.0,0.0
2950,2.0,5.0
2992,1.0,2.0
3045,1.0,0.0
3050,1.0,2.0
3062,2.0,0.0
3065,1.0,0.0
3077,2.0,0.0
3126,2.0,4.0
3152,4.0,8.0
3155,4.0,6.0
3168,1.0,0.0
3178,1.0,2.0
3181,1.0,0.0
3205,1.0,2.0
3240,1.0,0.0
3262,1.0,0.0
3304,1.0,2.0
3351,1.0,2.0
3362,2.0,2.0
3433,1.0,0.0
3458,1.0,0.0
3474,1.0,0.0
3481,217.0,323.0
3506,1.0,0.0
3535,1.0,3.0
3541,3.0,0.0
3551,2.0,6.0
3584,1.0,2.0
3585,2.0,4.0
3587,2.0,2.0
3591,1.0,0.0
3599,3.0,0.0
3602,6.0,0.0
3603,1.0,2.0
3604,1.0,2.0
3611,1.0,0.0
3614,1.0,0.0
3636,1.0,0.0
3646,1.0,0.0
3681,1.0,0.0
3686,1.0,2.0
3693,1.0,2.0
3704,1.0,2.0
3716,44.0,47.0
3719,1.0,3.0
3722,2.0,0.0
3798,1.0,0.0
3805,1.0,0.0
3927,1.0,2.0
3930,1.0,2.0
3942,2.0,3.0
3943,2.0,4.0
3945,1.0,2.0
3968,1.0,2.0
3985,2.0,2.0
3992,1.0,0.0
4010,1.0,0.0
4032,2.0,0.0
4098,1.0,0.0
4117,1.0,0.0
4153,1.0,2.0
4173,1.0,0.0
4174,1.0,0.0
4192,1.0,3.0
4224,3.0,0.0
4255,1.0,0.0
4284,1.0,2.0
4304,1.0,2.0
4311,2.0,2.0
4312,1.0,2.0
4343,1.0,2.0
4353,1.0,0.0
4355,1.0,0.0
4371,1.0,0.0
4384,1.0,2.0
4413,1.0,2.0
4435,1.0,0.0
4438,286.0,529.0
4440,115.0,181.0
4456,18.0,24.0
4476,1.0,0.0
4487,1.0,0.0
4502,1145.0,1465.0
4517,1.0,0.0
4525,1.0,3.0
4535,1.0,0.0
4549,1.0,2.0
4579,1.0,0.0
4650,1.0,0.0
4676,17.0,26.0
4688,1.0,0.0
4701,1.0,0.0
4731,1.0,0.0
4736,1.0,0.0
4764,1.0,2.0
4769,1.0,2.0
4787,2.0,3.0
4803,4.0,4.0
4804,25.0,27.0
4807,3.0,0.0
4850,1.0,0.0
4861,1736.0,1928.0
4870,1.0,0.0
4891,1.0,0.0
4896,1.0,0.0
4898,13.0,13.0
4911,1.0,0.0
4941,1.0,0.0
4949,1.0,0.0
4955,1.0,2.0
4982,2.0,4.0
4985,8.0,10.0
5019,1.0,0.0
5111,1.0,2.0
5116,1.0,2.0
5164,1.0,0.0
5172,1.0,0.0
5213,1.0,2.0
5215,1.0,0.0
5240,4.0,4.0
5257,2.0,4.0
5318,1.0,2.0
5382,1.0,2.0
5385,1.0,3.0
5409,1.0,2.0
5452,1.0,0.0
5470,316.0,303.0
5481,1.0,2.0
5491,2.0,0.0
5497,1.0,2.0
5521,1.0,2.0
5539,1.0,0.0
5544,146.0,206.0
5571,22.0,39.0
5586,214.0,313.0
5589,1.0,0.0
5590,20.0,32.0
5624,522.0,644.0
5633,1.0,0.0
5695,1.0,0.0
5718,3.0,4.0
5751,1.0,0.0
5755,1.0,0.0
5778,1.0,0.0
5803,1.0,0.0
5806,1.0,2.0
5845,1.0,2.0
5849,1.0,0.0
5871,1.0,0.0
5892,217.0,456.0
5894,1.0,2.0
5923,76.0,88.0
5942,1.0,0.0
5947,3.0,2.0
6026,1.0,0.0
6083,1.0,0.0
6115,4.0,0.0
6121,1.0,0.0
6210,5.0,4.0
6242,1.0,0.0
6259,4.0,5.0
6263,1.0,3.0
6269,1.0,3.0
6333,2.0,4.0
6367,1.0,0.0
6396,1.0,0.0
6457,3.0,4.0
6462,1.0,0.0
6464,1.0,0.0
6465,8.0,0.0
6500,1.0,0.0
6534,1.0,0.0
6535,1.0,0.0
6552,284.0,648.0
6555,1.0,0.0
6573,1.0,2.0
6607,2.0,2.0
6654,1.0,2.0
6669,1.0,0.0
6673,19.0,28.0
6676,3.0,0.0
6729,1.0,0.0
6748,1.0,3.0
6749,1.0,0.0
6761,1.0,0.0
6785,1.0,3.0
6808,18.0,21.0
6816,1.0,0.0
6830,3.0,2.0
6840,2.0,4.0
6876,1.0,2.0
6887,6.0,4.0
6916,1.0,2.0
6919,1.0,0.0
6946,2.0,6.0
6965,2.0,3.0
6974,1.0,0.0
6985,2.0,2.0
7102,1.0,2.0
7111,1.0,0.0
7120,1.0,2.0
7212,1.0,0.0
7223,1.0,0.0
7238,11.0,19.0
7241,1.0,0.0
7266,1.0,0.0
7435,1.0,2.0
7472,1.0,0.0
7518,1.0,2.0
7525,1.0,0.0
7543,2.0,2.0
7557,1.0,0.0
7628,1.0,0.0
7667,1.0,0.0
7700,1.0,0.0
7709,1.0,0.0
7714,1.0,0.0
7721,1.0,0.0
7728,1.0,0.0
7729,1.0,0.0
7746,1.0,0.0
7773,4.0,0.0
7814,1.0,2.0
7859,1.0,0.0
7860,1.0,2.0
7919,1659.0,3858.0
7920,33.0,81.0
7931,1.0,0.0
7995,1.0,0.0
8011,953.0,1577.0
8052,1.0,2.0
8067,1.0,0.0
8081,36.0,16.0
8112,1.0,2.0
8126,285.0,466.0
8129,5.0,14.0
8130,1.0,0.0
8132,1.0,0.0
8134,1.0,0.0
8174,1.0,2.0
8225,18.0,28.0
8236,1.0,0.0
8268,3.0,0.0
8272,1.0,0.0
8296,1.0,0.0
8338,1.0,0.0
8367,1.0,2.0
8372,35.0,51.0
8388,1287.0,3040.0
8423,1.0,2.0
8457,1.0,0.0
8493,1.0,2.0
8509,218.0,390.0
8514,2.0,0.0
8522,1.0,2.0
8548,4.0,5.0
8551,1.0,0.0
8567,1.0,2.0
8569,1.0,2.0
8574,1.0,2.0
8586,2.0,0.0
8601,2.0,0.0
8640,1.0,0.0
8644,1.0,2.0
8667,1.0,0.0
8691,1.0,2.0
8693,2.0,0.0
8707,296.0,348.0
8721,1.0,0.0
8731,15.0,2.0
8745,1.0,2.0
8759,1.0,3.0
8792,1.0,0.0
8799,1.0,0.0
8826,422.0,277.0
8846,1.0,0.0
8962,1.0,0.0
8998,1.0,2.0
8999,2.0,0.0
9013,1.0,0.0
9066,1.0,2.0
9094,4.0,0.0
9118,1.0,2.0
9129,1.0,0.0
9149,1.0,0.0
9227,3.0,4.0
9264,1.0,2.0
9275,1.0,0.0
9297,1.0,0.0
9299,1.0,0.0
9339,1.0,0.0
9342,105.0,131.0
9355,1.0,0.0
9394,1.0,0.0
9421,1.0,2.0
9429,2.0,2.0
9449,4.0,9.0
9473,1.0,0.0
9485,1.0,0.0
9487,1.0,3.0
9496,1.0,0.0
9514,1.0,4.0
9557,1.0,0.0
9571,1.0,0.0
9577,1.0,2.0
9603,2.0,2.0
9648,1.0,0.0
9660,1.0,0.0
9672,1.0,2.0
9681,24.0,44.0
9687,1.0,0.0
9706,1.0,0.0
9755,1.0,0.0
9810,1.0,0.0
9831,1.0,2.0
9867,1.0,0.0
9874,1.0,2.0
9923,1.0,0.0
9941,1.0,0.0
9957,7.0,5.0
9981,1.0,2.0
10031,1.0,0.0
10089,1.0,0.0
10099,2.0,5.0
10135,33.0,53.0
10202,1.0,0.0
10208,2.0,0.0
10253,1.0,0.0
10262,2.0,4.0
10275,1.0,0.0
10289,1.0,2.0
10290,1.0,3.0
10302,1.0,2.0
10304,1.0,0.0
10312,1.0,0.0
10319,284.0,324.0
10333,1.0,0.0
10338,1.0,2.0
10429,1.0,0.0
10430,1.0,2.0
10465,4.0,4.0
10536,1.0,2.0
10539,1.0,3.0
10577,335.0,483.0
10606,1.0,0.0
10652,1.0,2.0
10654,1.0,0.0
10668,1.0,0.0
10674,2.0,0.0
10714,1.0,2.0
10732,1.0,0.0
10736,1.0,0.0
10743,1.0,2.0
10787,1.0,3.0
10914,1.0,0.0
10953,1.0,2.0
10960,1.0,0.0
10976,1.0,0.0
11003,1.0,0.0
11018,1.0,2.0
11067,1.0,0.0
11074,1.0,0.0
11081,3.0,0.0
11094,1.0,0.0
11129,1.0,2.0
11375,2.0,4.0
11376,1.0,2.0
11398,1.0,2.0
11401,1.0,0.0
11406,1.0,2.0
11409,1.0,0.0
11496,1.0,2.0
11509,1.0,2.0
11535,1.0,2.0
11670,1396.0,2439.0
11694,1.0,2.0
11712,1.0,0.0
11791,1.0,2.0
11814,1.0,2.0
11842,1.0,2.0
11863,1.0,2.0
11995,284.0,370.0
12037,1.0,3.0
12075,1.0,0.0
12154,1.0,0.0
12198,1.0,4.0
12205,1.0,0.0
12297,1.0,0.0
12304,1.0,0.0
12313,1.0,0.0
12320,1.0,0.0
12481,1.0,0.0
12507,1.0,0.0
12528,1.0,0.0
12561,1.0,0.0
12569,3.0,2.0
12633,745.0,1289.0
12674,1.0,0.0
12686,3.0,7.0
12687,27.0,42.0
12817,1.0,0.0
12825,581.0,750.0
12828,1000.0,1289.0
12856,1.0,0.0
12960,1.0,2.0
13001,25.0,33.0
13044,1.0,0.0
13064,1.0,0.0
13129,1.0,2.0
13170,1.0,2.0
13258,1.0,3.0
13332,1.0,2.0
13396,4.0,2.0
13439,1.0,3.0
13493,1.0,0.0
13505,1.0,0.0
13523,1.0,0.0
13566,1.0,0.0
13574,1.0,2.0
13576,1.0,2.0
13604,1.0,0.0
13790,273.0,453.0
13809,1.0,0.0
13874,2.0,0.0
14012,1.0,0.0
14023,1.0,0.0
14048,3.0,0.0
14067,1.0,0.0
14118,1.0,0.0
14155,1.0,2.0
14188,1.0,0.0
14230,1.0,0.0
14306,3.0,4.0
14324,1.0,0.0
14348,1.0,0.0
14354,1.0,2.0
14378,3.0,0.0
14445,2.0,3.0
14450,1.0,0.0
14512,2.0,0.0
14540,1.0,0.0
14616,1.0,3.0
14665,1.0,2.0
14689,1.0,0.0
14690,4.0,12.0
14712,1.0,0.0
14717,1.0,0.0
14732,1.0,0.0
14785,1.0,3.0
14845,2.0,3.0
14881,1.0,0.0
14967,1.0,0.0
15028,4.0,4.0
15049,3.0,6.0
15057,1.0,0.0
15081,1.0,0.0
15098,356.0,501.0
15119,12.0,20.0
15157,439.0,638.0
15195,1.0,2.0
15209,4.0,4.0
15235,1.0,2.0
15239,1.0,2.0
15294,2.0,4.0
15308,1.0,0.0
15322,1.0,2.0
15423,1296.0,1810.0
15434,45.0,52.0
15471,1.0,0.0
15485,1.0,2.0
15486,1.0,0.0
15548,1.0,2.0
15578,1.0,0.0
15661,1.0,0.0
15710,1.0,0.0
15767,19.0,44.0
15782,1.0,2.0
15799,2.0,4.0
15801,1.0,0.0
15833,1.0,3.0
15869,104.0,239.0
15916,1.0,2.0
15919,1.0,0.0
15968,1.0,0.0
16021,1.0,0.0
16059,1.0,2.0
16082,3.0,9.0
16087,1.0,0.0
16088,1.0,0.0
16102,1.0,0.0
16199,1.0,2.0
16221,1.0,2.0
16260,1.0,2.0
16356,1.0,3.0
16391,1.0,0.0
16394,1.0,0.0
16455,2.0,0.0
16457,2.0,8.0
16482,1.0,0.0
16489,241.0,267.0
16495,2.0,2.0
16514,1.0,2.0
16556,1.0,2.0
16596,1.0,2.0
16601,1.0,0.0
16622,1.0,3.0
16734,1.0,0.0
16750,1.0,0.0
16756,14.0,33.0
16935,1.0,0.0
17002,1.0,2.0
17038,1.0,0.0
17092,112.0,141.0
17212,1748.0,2099.0
17230,1.0,0.0
17291,1.0,2.0
17340,1.0,3.0
17349,1.0,0.0
17355,47.0,51.0
17390,5.0,10.0
17391,296.0,429.0
17407,3.0,4.0
17468,3.0,1.0
17500,38.0,45.0
17520,1.0,0.0
17629,1.0,2.0
17639,1.0,0.0
17650,1.0,2.0
17720,31.0,44.0
17816,1.0,0.0
17859,2.0,0.0
17871,1.0,0.0
17918,1.0,0.0
17923,19.0,39.0
17995,2.0,3.0
18076,1.0,3.0
18097,4.0,10.0
18181,1.0,0.0
18218,2.0,0.0
18241,2.0,2.0
18295,2.0,4.0
18418,1.0,2.0
18439,1.0,4.0
18442,1.0,0.0
18462,2.0,0.0
18482,1.0,2.0
18539,1.0,3.0
18647,1.0,0.0
18659,1.0,0.0
18686,1.0,0.0
18770,1.0,0.0
18788,1.0,0.0
18817,1.0,3.0
18928,1.0,0.0
18996,1.0,0.0
19005,1.0,0.0
19092,1.0,2.0
19291,1.0,2.0
19299,1.0,0.0
19309,1.0,0.0
19539,1.0,0.0
19560,1.0,2.0
19587,2.0,0.0
19590,1.0,0.0
19597,1.0,0.0
19683,2.0,4.0
19725,1.0,0.0
19777,4.0,2.0
19876,1.0,0.0
19886,1788.0,3769.0
19894,1.0,3.0
19964,1.0,0.0
20036,1.0,0.0
20111,2.0,3.0
20206,1.0,2.0
20215,68.0,87.0
20324,1.0,0.0
20404,7.0,0.0
20410,1.0,0.0
20465,1.0,0.0
20493,438.0,726.0
20583,1.0,2.0
20799,47.0,86.0
20805,2.0,0.0
20886,1.0,3.0
20891,1.0,0.0
20938,1.0,0.0
20953,3.0,0.0
21002,1.0,0.0
21107,17.0,31.0
21188,1.0,0.0
21232,1.0,0.0
21269,1.0,0.0
21316,1.0,3.0
21411,1.0,0.0
21459,1.0,2.0
21489,1.0,0.0
21533,1.0,0.0
21638,1.0,3.0
21666,1.0,0.0
21796,4.0,4.0
21935,1.0,0.0
21947,1.0,2.0
21956,1.0,0.0
21962,1.0,2.0
22131,167.0,449.0
22148,2.0,0.0
22181,1.0,0.0
22218,1.0,0.0
22322,1.0,4.0
22363,1.0,0.0
22383,1.0,0.0
22456,1.0,2.0
22465,1.0,0.0
22489,5.0,4.0
22517,1.0,2.0
22647,1.0,3.0
22759,1.0,0.0
22789,1.0,2.0
22951,1.0,0.0
22980,1.0,2.0
23080,1.0,0.0
23232,1.0,0.0
23274,10.0,27.0
23331,1.0,0.0
23382,3.0,0.0
23389,1.0,0.0
23691,1.0,0.0
23758,3.0,6.0
23845,1.0,0.0
23914,1.0,0.0
23984,1.0,0.0
24088,2.0,4.0
24219,2.0,2.0
24320,7.0,10.0
24368,1.0,0.0
24384,1.0,2.0
24400,1.0,0.0
24401,1.0,0.0
24435,6.0,24.0
24505,1.0,0.0
24635,1.0,0.0
24640,1.0,3.0
24646,1.0,0.0
24687,1.0,0.0
24698,98.0,215.0
24739,1.0,2.0
24774,1.0,0.0
24792,1.0,2.0
24794,1.0,0.0
24844,1.0,0.0
24849,1.0,0.0
24912,210.0,341.0
24973,2.0,4.0
25013,1.0,2.0
25111,1.0,0.0
25126,1.0,0.0
25196,1.0,2.0
25209,1.0,2.0
25221,1.0,2.0
25273,1.0,2.0
25274,1.0,0.0
25316,1.0,0.0
25388,2.0,5.0
25554,1.0,0.0
25606,118.0,218.0
25632,1.0,2.0
25639,1.0,0.0
25640,1.0,0.0
25826,1.0,0.0
25827,1.0,2.0
25940,2.0,3.0
25946,7.0,0.0
25949,1.0,2.0
25976,1.0,0.0
25978,1.0,0.0
26153,2.0,0.0
26163,309.0,484.0
26186,1.0,0.0
26188,1.0,3.0
26237,1.0,0.0
26241,1.0,3.0
26265,1.0,2.0
26295,1.0,2.0
26314,1.0,0.0
26539,1.0,3.0
26550,6.0,4.0
26615,1.0,2.0
26646,1.0,0.0
26657,1.0,4.0
26674,1.0,2.0
26682,1.0,0.0
26694,1.0,3.0
26705,4.0,4.0
26706,493.0,763.0
26748,3.0,4.0
26858,1.0,0.0
26900,1.0,0.0
26961,1.0,0.0
27012,1.0,2.0
27015,1.0,0.0
27020,1.0,2.0
27134,1.0,0.0
27203,2.0,3.0
27225,1.0,2.0
27351,1.0,3.0
27357,1.0,3.0
27499,1.0,2.0
27609,186.0,253.0
27725,5.0,4.0
27752,1.0,0.0
27791,1.0,0.0
27808,1.0,0.0
27819,1.0,0.0
27843,1.0,0.0
27917,2.0,0.0
27920,1.0,3.0
27998,2.0,0.0
28126,2.0,4.0
28191,1.0,2.0
28204,1.0,3.0
28236,1.0,0.0
28276,1.0,0.0
28331,1.0,2.0
28374,1.0,0.0
28402,1.0,0.0
28443,2.0,6.0
28595,1.0,0.0
28617,45.0,20.0
28669,1.0,2.0
28702,1.0,2.0
28789,78.0,110.0
28847,1.0,0.0
28855,1.0,0.0
28910,1.0,2.0
28960,1.0,2.0
29061,1.0,0.0
29189,223.0,470.0
29308,1.0,0.0
29309,1.0,2.0
29492,1.0,0.0
29530,1.0,0.0
29781,1.0,0.0
29915,1.0,0.0
29942,3.0,4.0
29963,1.0,2.0
30015,1.0,0.0
30064,1.0,0.0
30115,5.0,2.0
30236,1.0,0.0
30386,1.0,0.0
30407,1.0,0.0
30441,1.0,3.0
30445,1.0,2.0
30510,1.0,2.0
30629,1.0,0.0
30638,1.0,0.0
30665,1.0,2.0
30679,1.0,2.0
30791,25.0,68.0
30960,196.0,255.0
30971,1.0,2.0
31108,1.0,0.0
31112,1.0,0.0
31115,282.0,581.0
31216,1.0,2.0
31299,1.0,2.0
31322,1.0,0.0
31345,6.0,0.0
31355,1.0,0.0
31421,1.0,2.0
31499,1.0,0.0
31519,1.0,0.0
31529,1.0,0.0
31587,1.0,0.0
31602,1.0,0.0
31610,3.0,0.0
31639,1.0,0.0
31732,31.0,65.0
31741,62.0,84.0
31781,1.0,0.0
32241,1.0,0.0
32369,1.0,0.0
32400,1.0,0.0
32503,1115.0,1683.0
32820,1.0,0.0
32855,1.0,0.0
33183,1.0,0.0
33497,1.0,2.0
33706,2.0,2.0
33777,1.0,0.0
33814,1.0,2.0
33952,1.0,0.0
34008,2.0,0.0
34016,1.0,0.0
34140,1.0,2.0
34165,1.0,0.0
34211,90.0,133.0
34419,1.0,0.0
34537,1.0,0.0
34653,586.0,1144.0
34687,1.0,4.0
34863,1.0,0.0
34958,1.0,0.0
35004,2.0,3.0
35266,1.0,0.0
35307,2.0,4.0
35345,1.0,2.0
35350,1.0,3.0
35352,1.0,2.0
35433,1.0,0.0
35599,1.0,0.0
35607,2.0,5.0
35645,1.0,0.0
35700,1.0,0.0
35894,1.0,0.0
36061,1.0,2.0
36287,1.0,2.0
36407,1.0,3.0
36444,4.0,7.0
36645,57.0,161.0
36666,655.0,1492.0
36686,1.0,0.0
36696,1.0,0.0
36705,1.0,0.0
36983,1.0,0.0
37148,2.0,0.0
37378,1.0,2.0
37419,1.0,0.0
37429,1.0,2.0
37635,1.0,2.0
37677,1.0,2.0
37691,1.0,0.0
37721,1.0,0.0
37869,3.0,7.0
37870,1.0,2.0
37913,1.0,0.0
37961,1.0,0.0
37991,2.0,0.0
38049,1.0,2.0
38141,1.0,0.0
38324,1.0,0.0
38342,1.0,2.0
38625,1.0,2.0
38823,1.0,0.0
38962,1.0,2.0
39075,1.0,0.0
39101,1.0,2.0
39125,3.0,4.0
39237,1.0,2.0
39629,1.0,2.0
39763,1.0,0.0
40370,3.0,3.0
40374,1.0,2.0
40619,1.0,0.0
40678,1.0,2.0
40725,1.0,0.0
40765,2.0,0.0
40793,1.0,0.0
40832,2.0,4.0
40920,1.0,2.0
41029,1.0,0.0
41137,1.0,0.0
41151,2.0,0.0
41344,1.0,0.0
41411,1.0,0.0
41451,1.0,0.0
41458,2.0,4.0
41798,1.0,0.0
41835,1.0,2.0
41955,1.0,2.0
42027,1.0,0.0
42031,1.0,0.0
42044,1.0,4.0
42185,1.0,0.0
42286,1.0,0.0
42325,1.0,0.0
42468,1.0,0.0
42515,1.0,0.0
42542,1.0,0.0
42611,1.0,2.0
42953,1.0,0.0
43008,1.0,0.0
43031,1.0,2.0
43189,1.0,0.0
43240,1.0,0.0
43263,1.0,0.0
43274,1.0,2.0
43315,1.0,0.0
43429,1.0,0.0
43519,2.0,0.0
43574,1.0,3.0
43613,1.0,0.0
44041,1.0,0.0
44148,1.0,0.0
44187,1.0,0.0
44289,1.0,0.0
44715,20.0,31.0
44991,1.0,3.0
45128,1.0,0.0
45169,1.0,2.0
45258,1.0,0.0
45456,1.0,0.0
45463,1.0,3.0
45553,1.0,0.0
45568,3.0,4.0
45640,1.0,0.0
45658,1.0,0.0
45918,1.0,0.0
45942,1.0,0.0
45954,1.0,2.0
46060,1.0,0.0
46098,1.0,0.0
46341,1.0,2.0
46440,2.0,0.0
46446,1.0,2.0
46502,1.0,2.0
46522,1.0,0.0
46609,2.0,6.0
46794,1.0,0.0
46796,1.0,0.0
46951,1.0,0.0
47034,1.0,0.0
47106,1.0,2.0
47216,1.0,2.0
47237,1.0,0.0
47378,333.0,718.0
47386,2.0,2.0
47653,1.0,3.0
48003,18.0,33.0
48083,1.0,0.0
48155,1.0,2.0
48271,1.0,0.0
48296,1.0,0.0
48298,1.0,2.0
48406,1.0,0.0
48537,1.0,2.0
48572,1.0,0.0
48621,1.0,2.0
48669,1.0,5.0
48691,1.0,0.0
48697,1.0,2.0
48711,1.0,2.0
48726,1.0,0.0
48937,1.0,0.0
49370,1.0,0.0
49428,1.0,0.0
49540,1.0,0.0
49797,1.0,0.0
49808,1.0,0.0
49950,147.0,268.0
50023,1.0,2.0
50079,1.0,0.0
50102,1.0,0.0
50189,1.0,0.0
50316,1.0,2.0
50660,1.0,0.0
50827,1.0,2.0
51126,1.0,2.0
51325,1.0,2.0
51477,1.0,0.0
51520,1.0,0.0
51645,1.0,0.0
51693,1.0,0.0
51703,1.0,2.0
51864,1.0,2.0
51874,1.0,0.0
52003,1.0,0.0
52107,1.0,0.0
52125,2.0,3.0
52172,1.0,0.0
52218,1.0,0.0
52324,1.0,0.0
52557,1.0,2.0
52601,1.0,0.0
52916,1.0,0.0
52921,1.0,0.0
53079,1.0,0.0
53148,1.0,0.0
53235,1.0,0.0
53337,1.0,2.0
53412,271.0,343.0
53804,1.0,0.0
54003,1.0,0.0
54051,1.0,0.0
54304,31.0,29.0
54376,1.0,2.0
54808,102.0,145.0
54848,1.0,3.0
54897,107.0,95.0
55110,1.0,0.0
55132,1.0,0.0
55153,1.0,2.0
55185,38.0,56.0
55472,1.0,0.0
55549,11.0,12.0
55576,47.0,60.0
55613,1.0,0.0
55637,1.0,2.0
55857,1.0,2.0
55917,1.0,0.0
56147,1.0,3.0
56324,7.0,8.0
56416,2.0,0.0
56498,1.0,0.0
56986,36.0,72.0
57385,1.0,0.0
